country,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,generation_gwh_2017,estimated_generation_gwh_2017
USA,USA0050823,40.5,35.046,-118.2757,Wind,,,,1990,Terra-Gen Operating Co-Wind,42.156,42.79
USA,USA0052143,23.5,35.068,-118.2898,Wind,,,,1991,Terra-Gen Operating Co-Wind,56.668,50.3
USA,USA0052142,29,35.0506,-118.2572,Wind,,,,1991,Terra-Gen Operating Co-Wind,70.584,58.42
USA,USA0052144,22.5,35.076,-118.2487,Wind,,,,1991,Terra-Gen Operating Co-Wind,56.622,48.66
USA,USA0007072,32.7,34.3074,-117.3235,Hydro,,,,1996,California Dept. of Water Resources,99.243,82.19
USA,USA0057331,280,35.0177,-117.3391,Solar,,,,2015,Mojave Solar LLC,594.03,683.46
USA,USA0000899,75.6,41.51,-90.534,Gas,Hydro,,,1968.666667,MidAmerican Energy Co,8.969,266.6
USA,USA0058056,13.9,34.1217,-117.9383,Gas,Biomass,Solar,,2004.697842,MolsonCoors Irwindale Brewery,17.733,49.01
USA,USA0050732,52.5,40.3925,-79.8564,Gas,,,,1945.809524,United States Steel-Mon Valley,282.326996,185.14
USA,USA0059123,3,35.5683,-79.0325,Solar,,,,2014,Moncure Farm LLC,6.243,5.89
USA,USA0002630,7.3,41.5377,-74.7714,Hydro,,,,1923,Eagle Creek RE LLC,9.043,9.12
USA,USA0001733,3293.1,41.8906,-83.3464,Coal,Petcoke,Oil,,1972.737087,DTE Electric Company,15587.05389,15211.4
USA,USA0002146,10.4,39.6525,-91.7325,Oil,,,,1992.615385,City of Monroe City - (MO),0,6.09
USA,USA0002273,8.4,41.4872,-97.6078,Hydro,,,,1936,Loup River Public Power Dist,29.199,21.32
USA,USA0058201,5.6,43.1039,-77.6103,Gas,,,,2004,Monroe County (NY),12.29116,19.74
USA,USA0061509,3.4,43.1741,-77.3922,Solar,,,,2018,AES Distributed Energy,0.002,5.54
USA,USA0061510,6,43.3188,-77.7402,Solar,,,,2018,AES Distributed Energy,0.007,9.77
USA,USA0057505,30,34.9858,-80.506,Gas,Oil,,,2010,North Carolina Mun Power Agny #1,1.623,105.79
USA,USA0056343,1.8,34.9733,-80.54,Oil,,,,2006,North Carolina Mun Power Agny #1,0.064,1.05
USA,USA0059578,5,34.9719,-80.6019,Solar,,,,2017,Heelstone Energy Holdings  LLC,9.852,8.14
USA,USA0060383,54.6,34.9299,-80.6256,Solar,,,,2017,Duke Energy Carolinas  LLC,87.404,88.97
USA,USA0009095,14.8,47.6536,-117.4206,Hydro,,,,1993,Avista Corp,95.459,69.45
USA,USA0059464,3,42.1244,-72.3325,Solar,,,,2014,DESRI V Mass Solar Holdco  LLC,4.043,4.39
USA,USA0057322,15,29.8381,-94.9007,Gas,,,,2009,Targa Co-Generation LLC,91.261,52.89
USA,USA0061586,5,45.0603,-93.9047,Solar,,,,2018,Generate Capital,0.26,8.14
USA,USA0058562,527.2,31.8239,-106.2119,Gas,Oil,,,2015.5,El Paso Electric Co,1044.667962,1859.16
USA,USA0060300,3,31.8131,-106.2189,Solar,,,,2017,El Paso Electric Co,4.851,4.88
USA,USA0058507,18,40.8814,-73.8803,Gas,Oil,,,2001.5,Montefiore Medical Center Moses Division,28.853,63.47
USA,USA0061025,1,40.8406,-73.8484,Oil,,,,1983,Montefiore-Westchester Square,0,0.58
USA,USA0059614,6,38.4214,-79.5914,Oil,,,,2016,Old Dominion Electric Coop,0.272,3.51
USA,USA0054951,1.8,36.7056,-121.7714,Biomass,Gas,,,1988,Monterey One Water,9.237,
USA,USA0058633,1,36.7211,-121.7878,Solar,,,,2011,Tesla Inc.,1.388,1.27
USA,USA0001165,9.8,41.586,-92.5228,Oil,Gas,,,1978.806122,City of Montezuma - (IA),0.403,5.74
USA,USA0057701,78.2,38.1167,-121.8219,Wind,,,,2012,NextEra Energy Montezuma Wind II  LLC,196.047,214.74
USA,USA0055742,30,42.9625,-90.3867,Wind,,,,2002,Wisconsin Electric Power Co,48.308,74.13
USA,USA0060820,1.4,39.2379,-77.2932,Solar,,,,2017,Tesla Inc.,0,2.28
USA,USA0055885,2.4,39.1937,-77.1189,Waste,,,,2009,CB&I,13.915,0.43
USA,USA0050657,67.8,39.2006,-77.4556,Waste,,,,1995,Covanta Montgomery  Inc.,328.548996,12.28
USA,USA0055009,2.6,40.8468,-121.9564,Hydro,,,,1987,Enel Green Power NA  Inc.,10.406,8.91
USA,USA0058649,20,35.3444,-79.7683,Solar,,,,2016,Oppidum Renewables USA  LLC,40.815,44.32
USA,USA0061456,3,44.9517,-94.0556,Solar,,,,2017,Minnesota Solar CSG 4  LLC,0.431,4.88
USA,USA0007646,11.5,38.5131,-122.1044,Hydro,,,,1983,Solano Irrigation District,53.592,33.5
USA,USA0001922,685,45.3338,-93.8493,Nuclear,,,,1971,Northern States Power Co - Minnesota,5159.62,5434.3
USA,USA0007791,10.8,41.5855,-84.5794,Oil,,,,2000,American Mun Power-Ohio  Inc,0.397,6.32
USA,USA0055229,236,40.6206,-85.3057,Gas,Oil,,,2001,Kimura Power LLC,140.885998,832.25
USA,USA0060529,3.5,45.0556,-93.9228,Solar,,,,2017,Enel Green Power NA  Inc.,5.032,5.7
USA,USA0000546,495.3,41.4281,-72.1019,Oil,Gas,,,1968.382193,NRG Montville Operations Inc,45.307,290.28
USA,USA0002851,13.5,39.7667,-84.1739,Oil,,,,1968,Kimura Power LLC,0.035,7.91
USA,USA0058337,5,36.2732,-79.7592,Solar,,,,2014,Moore Solar Farm LLC,8.693,9.67
USA,USA0003008,305,36.4372,-99.2254,Gas,,,,1970.508197,Western Farmers Elec Coop  Inc,415.805,1075.58
USA,USA0007855,1.4,46.895,-96.7347,Wind,,,,2000,City of Moorhead - (MN),1.86,1.95
USA,USA0058338,5,35.3058,-77.8292,Solar,,,,2013,Moorings Farm LLC,8.086,9.05
USA,USA0061405,5,35.3057,-77.8289,Solar,,,,2017,Moorings Farm 2  LLC,2.417,8.14
USA,USA0001996,10.2,46.4541,-92.7606,Oil,Gas,,,2004.490196,Moose Lake Water & Light Comm,0.103,5.97
USA,USA0010196,12.6,43.6107,-75.3413,Hydro,,,,1987,EONY Generation Limited,64.921,42.9
USA,USA0050337,1.8,41.8244,-88.3331,Gas,,,,1986,Moose International,0,6.34
USA,USA0001997,13.8,45.8771,-93.2951,Oil,Gas,,,1972.326087,City of Mora - (MN),-0.113,8.08
USA,USA0056498,1.7,43.46,-116.4725,Hydro,,,,2006,Boise-Kuna Irrigation District,4.514,4.05
USA,USA0056794,49.5,44.1238,-96.0784,Wind,,,,2009,Avangrid Renewables LLC,170.658,176.6
USA,USA0056174,51,44.0667,-96.0667,Wind,,,,2004,Avangrid Renewables LLC,153.239,144.04
USA,USA0006652,60.8,38.5557,-92.1023,Oil,,,,1978,Union Electric Co - (MO),-0.162,35.63
USA,USA0060007,15,35.7314,-119.8187,Solar,,,,2015,Southern Power Co,38.771,37.89
USA,USA0056891,1.6,44.3122,-72.7114,Waste,,,,2009,EPP Renewable Energy,11.882,0.28
USA,USA0060942,3,44.4132,-94.9076,Solar,,,,2017,Morgan Community Solar,3.084,4.88
USA,USA0003492,536.4,32.3358,-100.9156,Gas,Oil,,,1988,Luminant Generation Company LLC,4.552,1891.61
USA,USA0055293,900,34.6397,-87.0639,Gas,,,,2003.233333,Morgan Energy Center LLC,3931.225,3173.84
USA,USA0000717,16.8,33.9684,-84.3827,Hydro,,,,1904,Georgia Power Co,14.602,55.12
USA,USA0060133,5,36.0956,-78.152,Solar,,,,2016,SRE Utility Solar 1  LLC,9.842,9.72
USA,USA0059942,1.5,34.6608,-118.0836,Solar,,,,2015,Terraform Arcadia,3.929,3.55
USA,USA0060422,20,36.4211,-76.3642,Solar,,,,2016,Virginia Electric & Power Co,33.448,42.81
USA,USA0056064,1.8,35.7208,-81.6624,Oil,,,,2002,North Carolina Mun Power Agny #1,-0.037,1.05
USA,USA0056344,1.8,35.729,-81.7481,Oil,,,,2006,North Carolina Mun Power Agny #1,-0.028,1.05
USA,USA0060388,1.6,40.1746,-75.9137,Waste,,,,2016,EDL Inc,2.289,0.28
USA,USA0010743,68.9,39.6397,-79.9606,Coal,,,,1991,Morgantown Energy Associates,0,318.26
USA,USA0001573,1548,38.3592,-76.9767,Coal,Oil,,,1970.931525,GenOn Mid-Atlantic LLC,2529.951,7150.48
USA,USA0057362,2,40.1521,-75.8659,Solar,,,,2011,The Hankin Group,2.269,2.69
USA,USA0060612,4,42.167,-72.1929,Solar,,,,2014,Soltage LLC,6.625,5.68
USA,USA0000148,63.5,33.5536,-111.4431,Hydro,,,,1964.480315,Salt River Project,7.363,132.26
USA,USA0057875,101.2,41.4542,-94.5751,Wind,,,,2012,MidAmerican Energy Co,351.791,350.77
USA,USA0002191,63,47.5817,-111.0609,Hydro,,,,1930,NorthWestern Energy,289.766,180.57
USA,USA0055216,212.5,41.4119,-88.3328,Gas,,,,1998.780235,Morris Cogeneration LLC,635.065,749.38
USA,USA0003764,1.8,44.5618,-72.6024,Hydro,,,,1924,Village of Morrisville - (VT),5.75,4.14
USA,USA0000514,173.2,38.4518,-107.5393,Hydro,,,,1971,U S Bureau of Reclamation,338.514,456.44
USA,USA0054335,2.5,40.9692,-81.7756,Gas,,,,2015,Morton Salt Inc,0,8.81
USA,USA0050633,81.9,27.908,-81.9185,Cogeneration,Other,,,1989.296703,Mosaic Company,298.192,
USA,USA0010204,72.4,27.8605,-82.3903,Cogeneration,,,,1993.256906,Mosaic Company,0,
USA,USA0010434,135.5,27.8336,-82.0519,Cogeneration,,,,1991.723247,Mosaic Fertilizer LLC,564.213,
USA,USA0010198,26,30.0386,-90.8283,Cogeneration,Gas,,,1995.692308,Mosaic Phosphates Co.,8.24537,
USA,USA0010004,45.5,27.7652,-81.9388,Cogeneration,,,,1989.692308,Mosaic Fertilizer LLC,220.911,
USA,USA0002070,510.5,31.528,-89.3004,Gas,Oil,,,1994.01763,Cooperative Energy,912.418,1800.27
USA,USA0003163,63.6,40.2352,-75.6193,Oil,,,,1970,Exelon Power,1.048,37.27
USA,USA0002588,8,43.8719,-75.1364,Hydro,,,,1929,Erie Boulevard Hydropower LP,46.999,28.03
USA,USA0050614,23.4,44.7881,-89.6917,Biomass,Coal,Waste,Hydro,1963.333333,Ahlstrom-Munksjo NA Specialty Solutions  LLC,124.883,
USA,USA0003918,300,46.5347,-122.4247,Hydro,,,,1968,City of Tacoma - (WA),1265.565,778.23
USA,USA0001359,2.1,37.8297,-84.7247,Hydro,,,,2007.666667,Lock 7 Hydro Partners LLC,10.596,7.1
USA,USA0050973,276.8,29.8885,-93.951,Gas,,,,1996.561416,Motiva Enterprises LLC,1763.27553,976.13
USA,USA0001761,1.6,41.8056,-85.7505,Hydro,,,,1923,Indiana Michigan Power Co,7.211,5.61
USA,USA0055981,2,43.9204,-95.9559,Wind,,,,2002,EDF Renewable Asset Holdings  Inc.,4.856,4.99
USA,USA0056004,24,38.4681,-78.865,Oil,,,,2001.583333,City of Harrisonburg - (VA),0.08918,14.06
USA,USA0006208,200,39.0942,-106.3523,Hydro,,,,1982.5,U S Bureau of Reclamation,-87.778,421.95
USA,USA0059107,5,35.2019,-78.0817,Solar,,,,2015,Mount Olive Farm LLC,9.978,9.08
USA,USA0059908,2,35.18,-78.098,Solar,,,,2017,Mount Olive Solar LLC,4.044,3.25
USA,USA0057758,13.7,39.675,-77.345,Solar,,,,2012,Constellation Solar Horizons LLC,20.912,21.37
USA,USA0061416,18.7,40.79,-73.9537,Oil,,,,1996.122995,Mount Sinai Hospital,0,10.95
USA,USA0060585,1,33.8388,-83.638,Solar,,,,2015,Walton Electric Member Corp,1.913,1.91
USA,USA0003111,54,40.1228,-77.1716,Oil,Gas,,,1972,Mountain Power  LLC,7.426,31.64
USA,USA0003453,852.2,32.7231,-96.9358,Gas,,,,1963.812133,Mountain Creek Power  LLC,182.896,3005.27
USA,USA0056636,21,43.0272,-115.4656,Wind,,,,2008,Hot Springs Windfarm  LLC,40.876,63.19
USA,USA0059809,6.8,36.3096,-82.3775,Oil,Waste,Gas,,2002,Energy Systems Group LLC,14.101,3.98
USA,USA0002728,60,35.3339,-80.9867,Hydro,,,,1924,Duke Energy Carolinas  LLC,90.428,155.13
USA,USA0001998,9.2,43.9405,-94.9434,Oil,Gas,Wind,,1981.880435,City of Mountain Lake - (MN),3.278,5.39
USA,USA0056687,14.4,39.8014,-77.7883,Waste,Oil,,,2003,Industrial Power Generating Company LLC,23.758,2.6
USA,USA0055719,64.8,33.9211,-116.5642,Wind,,,,2001,AES Wind Generation Inc,156.253,138.73
USA,USA0056112,22.4,33.9141,-116.5914,Wind,,,,2004,Avangrid Renewables LLC,63.387,68.31
USA,USA0057459,49,33.8816,-116.5527,Wind,,,,2012,AES Wind Generation Inc,128.856,171.92
USA,USA0058544,20,36.3906,-114.9644,Solar,,,,2014,NextEra Energy Mountain View Solar,53.496,49.88
USA,USA0006329,2.3,62.0856,-163.7291,Oil,,,,2007.913043,Alaska Village Elec Coop  Inc,2.688,1.34
USA,USA0056753,80,41.2639,-110.5444,Wind,,,,2008,NRG Energy Gas & Wind Holdings Inc,216.909,226.07
USA,USA0056752,61,41.2881,-110.4807,Wind,,,,2008,NRG Energy Gas & Wind Holdings Inc,164.766,175.97
USA,USA0006264,1300,38.9794,-81.9344,Coal,,,,1980,Appalachian Power Co,7147.242007,6004.92
USA,USA0055986,66,39.1828,-79.5372,Wind,,,,2003,GlidePath Power Operations LLC,156.421,157.1
USA,USA0000358,1036.8,34.0818,-117.2418,Gas,,,,2006,Southern California Edison Co,4040.5069,3656.27
